Material Code;Origin
40184522;Asia
40184554;Asia
40184574;Asia
40184595;Asia
40184800;Asia
40184837;Asia
40184846;Asia
40184847;Asia
40184848;Asia
40184902;Asia
40184903;Asia
40185473;Asia
40185484;Asia
40185729;Asia
40185730;Asia
40186166;Asia
40186281;Asia
40186290;Asia
40186299;Asia
40186305;Asia
40186306;Asia
40186307;Asia
40186865;Asia
40187584;Asia
40187599;Asia
40187601;Asia
40187617;Asia
40187625;Asia
40187777;Asia
40188564;Asia
40189333;Asia
40190658;Asia
41801244;Asia
41802465;Asia
41802477;Asia
41802479;Asia
41802577;Asia
41802781;Asia
41802782;Asia
41802928;Asia
41802975;Asia
41802976;Asia
41803007;Asia
41803025;Asia
41803041;Asia
41803043;Asia
41803046;Asia
41803047;Asia
41803048;Asia
41803127;Asia
41803128;Asia
41803152;Asia
41803775;Asia
41804270;Asia
41805129;Asia
41840906;Asia
41840923;Asia
41840953;Asia
41841057;Asia
41841139;Asia
41841209;Asia
41841256;Asia
41842233;Asia
41842386;Asia
41842387;Asia
41842388;Asia
41842918;Asia
41842919;Asia
41842950;Asia
41842990;Asia
40085898;Asia
41840892;Asia
41840986;Asia
41842410;Asia
40021833;Europe
40158184;Europe
40158187;Europe
40158189;Europe
40158192;Europe
40158198;Europe
40158203;Europe
40158207;Europe
40158208;Europe
40158212;Europe
40158213;Europe
40158215;Europe
40158216;Europe
40158221;Europe
40158224;Europe
40158255;Europe
40158421;Europe
40158422;Europe
40161030;Europe
40172282;Europe
40172283;Europe
40172288;Europe
40172289;Europe
40172292;Europe
40172297;Europe
40172300;Europe
40172330;Europe
40172335;Europe
40172336;Europe
40172338;Europe
40174643;Europe
40174644;Europe
40174651;Europe
40174652;Europe
40174655;Europe
40174665;Europe
40174824;Europe
40174831;Europe
40174841;Europe
40174846;Europe
40177842;Europe
40177843;Europe
40177850;Europe
40177851;Europe
40177852;Europe
40177853;Europe
40177854;Europe
40177861;Europe
40177868;Europe
40177869;Europe
40177870;Europe
41800120;Europe
40002080;Local
40002081;Local
40002082;Local
40002083;Local
40006930;Local
40007336;Local
40007439;Local
40034844;Local
40034927;Local
40036041;Local
40036147;Local
40037090;Local
40038470;Local
40041744;Local
40041905;Local
40042562;Local
40042579;Local
40045087;Local
40047085;Local
40052115;Local
40052129;Local
40054336;Local
40054688;Local
40055403;Local
40055706;Local
40060461;Local
40062293;Local
40062316;Local
40063102;Local
40063685;Local
40068871;Local
40068927;Local
40068936;Local
40068974;Local
40070076;Local
40070933;Local
40070973;Local
40070996;Local
40071049;Local
40071412;Local
40071538;Local
40071985;Local
40075946;Local
40076181;Local
40076266;Local
40076277;Local
40077275;Local
40077285;Local
40077295;Local
40078869;Local
40079404;Local
40080664;Local
40080722;Local
40089914;Local
40090027;Local
40090038;Local
40090299;Local
40090399;Local
40090548;Local
40092024;Local
40092051;Local
40092052;Local
40092099;Local
40093295;Local
40093954;Local
40094050;Local
40095534;Local
40095654;Local
40097337;Local
40098388;Local
40099047;Local
40100752;Local
40100888;Local
40102580;Local
40104425;Local
40105440;Local
40105500;Local
40106278;Local
40106528;Local
40106986;Local
40109065;Local
40109604;Local
40109908;Local
40110917;Local
40110935;Local
40112328;Local
40113733;Local
40114464;Local
40117853;Local
40117987;Local
40119463;Local
40119479;Local
40119502;Local
40119511;Local
40119512;Local
40119859;Local
40120549;Local
40121725;Local
40122125;Local
40123786;Local
40124461;Local
40124718;Local
40125645;Local
40126313;Local
40126359;Local
40126407;Local
40126426;Local
40127064;Local
40127181;Local
40128722;Local
40129303;Local
40129542;Local
40129553;Local
40130201;Local
40130264;Local
40130300;Local
40130387;Local
40130444;Local
40131232;Local
40131262;Local
40131387;Local
40133841;Local
40133842;Local
40133882;Local
40134904;Local
40134967;Local
40135281;Local
40135308;Local
40135316;Local
40135317;Local
40135367;Local
40136060;Local
40136409;Local
40136593;Local
40140109;Local
40140122;Local
40140123;Local
40140128;Local
40140129;Local
40140131;Local
40140132;Local
40140133;Local
40140135;Local
40140823;Local
40140925;Local
40141397;Local
40141398;Local
40141399;Local
40141802;Local
40143008;Local
40143009;Local
40143010;Local
40143011;Local
40143012;Local
40143014;Local
40143015;Local
40143062;Local
40143132;Local
40144518;Local
40144754;Local
40144785;Local
40144956;Local
40144968;Local
40144980;Local
40144987;Local
40144997;Local
40144998;Local
40144999;Local
40145007;Local
40145008;Local
40145194;Local
40145204;Local
40145211;Local
40145252;Local
40145253;Local
40145612;Local
40145626;Local
40145639;Local
40145640;Local
40145644;Local
40145646;Local
40145672;Local
40145683;Local
40145684;Local
40145694;Local
40145703;Local
40145705;Local
40145706;Local
40145713;Local
40145718;Local
40145726;Local
40145732;Local
40145734;Local
40145736;Local
40145747;Local
40145753;Local
40145780;Local
40145799;Local
40145808;Local
40145812;Local
40145813;Local
40145815;Local
40145816;Local
40145930;Local
40145983;Local
40145999;Local
40146005;Local
40146255;Local
40146965;Local
40147105;Local
40147184;Local
40147192;Local
40147202;Local
40147206;Local
40147217;Local
40147586;Local
40147610;Local
40147708;Local
40147710;Local
40147723;Local
40147724;Local
40147735;Local
40147785;Local
40148066;Local
40149711;Local
40149712;Local
40149713;Local
40149728;Local
40149730;Local
40149744;Local
40149747;Local
40149749;Local
40149750;Local
40149755;Local
40149758;Local
40149760;Local
40149762;Local
40149770;Local
40149774;Local
40149777;Local
40149778;Local
40149781;Local
40149782;Local
40149800;Local
40149830;Local
40151251;Local
40151264;Local
40151448;Local
40152028;Local
40152035;Local
40152036;Local
40152044;Local
40152045;Local
40152046;Local
40152048;Local
40152054;Local
40152064;Local
40152065;Local
40152068;Local
40152069;Local
40152074;Local
40152076;Local
40152087;Local
40152088;Local
40152093;Local
40152095;Local
40152097;Local
40152099;Local
40152115;Local
40152123;Local
40152124;Local
40152127;Local
40152128;Local
40152129;Local
40152130;Local
40152131;Local
40152135;Local
40152136;Local
40152145;Local
40152150;Local
40152153;Local
40152155;Local
40152156;Local
40152158;Local
40152164;Local
40152167;Local
40152170;Local
40152181;Local
40152188;Local
40152206;Local
40152341;Local
40152373;Local
40152382;Local
40152384;Local
40152414;Local
40152415;Local
40152417;Local
40152423;Local
40152436;Local
40152438;Local
40152439;Local
40152440;Local
40152447;Local
40153024;Local
40153036;Local
40153052;Local
40153108;Local
40153128;Local
40153142;Local
40153147;Local
40153148;Local
40153151;Local
40153155;Local
40153156;Local
40153159;Local
40153186;Local
40153190;Local
40153193;Local
40153196;Local
40153363;Local
40153394;Local
40153415;Local
40153430;Local
40153444;Local
40153446;Local
40153459;Local
40153465;Local
40153488;Local
40153509;Local
40153518;Local
40153519;Local
40153527;Local
40153581;Local
40153587;Local
40153588;Local
40153590;Local
40153596;Local
40153597;Local
40153598;Local
40153640;Local
40153651;Local
40153653;Local
40153654;Local
40153669;Local
40153671;Local
40153676;Local
40153686;Local
40153692;Local
40153697;Local
40153698;Local
40153707;Local
40153710;Local
40153711;Local
40153715;Local
40153721;Local
40153722;Local
40153723;Local
40153724;Local
40153728;Local
40153729;Local
40153730;Local
40153731;Local
40153732;Local
40153737;Local
40153738;Local
40153739;Local
40153796;Local
40153819;Local
40153820;Local
40153821;Local
40153830;Local
40153831;Local
40153832;Local
40153839;Local
40153840;Local
40153845;Local
40154141;Local
40154198;Local
40154514;Local
40155126;Local
40155135;Local
40155314;Local
40155336;Local
40155345;Local
40155519;Local
40155520;Local
40155527;Local
40155535;Local
40155681;Local
40155693;Local
40155936;Local
40155964;Local
40155975;Local
40155976;Local
40155985;Local
40155993;Local
40156015;Local
40156050;Local
40156051;Local
40156066;Local
40156072;Local
40156270;Local
40156328;Local
40156361;Local
40156363;Local
40156374;Local
40156381;Local
40156386;Local
40156387;Local
40156390;Local
40156395;Local
40156402;Local
40156451;Local
40156456;Local
40156470;Local
40156477;Local
40156493;Local
40156510;Local
40156522;Local
40156554;Local
40156564;Local
40156585;Local
40156595;Local
40156660;Local
40156671;Local
40156677;Local
40156680;Local
40156683;Local
40156686;Local
40156689;Local
40156693;Local
40156697;Local
40156708;Local
40156725;Local
40156731;Local
40156732;Local
40156739;Local
40156749;Local
40156750;Local
40156751;Local
40156753;Local
40157033;Local
40157041;Local
40157042;Local
40157043;Local
40157054;Local
40157063;Local
40157249;Local
40157269;Local
40157280;Local
40157341;Local
40157932;Local
40157943;Local
40157958;Local
40157959;Local
40159543;Local
40159554;Local
40159558;Local
40159941;Local
40160398;Local
40160416;Local
40161051;Local
40161756;Local
40161840;Local
40161851;Local
40162207;Local
40162221;Local
40162227;Local
40162261;Local
40162262;Local
40162264;Local
40162269;Local
40162278;Local
40162282;Local
40162285;Local
40162286;Local
40162287;Local
40162288;Local
40162298;Local
40162299;Local
40162305;Local
40162840;Local
40162895;Local
40162896;Local
40163360;Local
40163369;Local
40163370;Local
40164046;Local
40164056;Local
40164090;Local
40164092;Local
40164094;Local
40164101;Local
40164109;Local
40164125;Local
40164126;Local
40164129;Local
40164136;Local
40164137;Local
40164274;Local
40164315;Local
40164346;Local
40164712;Local
40164724;Local
40164732;Local
40164745;Local
40164746;Local
40164752;Local
40164753;Local
40164992;Local
40165357;Local
40165372;Local
40165529;Local
40165864;Local
40165885;Local
40166326;Local
40166522;Local
40166523;Local
40166524;Local
40166531;Local
40166543;Local
40166544;Local
40166547;Local
40166548;Local
40166594;Local
40166636;Local
40167141;Local
40167144;Local
40167146;Local
40167156;Local
40167159;Local
40167163;Local
40167164;Local
40167165;Local
40167168;Local
40167170;Local
40167172;Local
40167175;Local
40167176;Local
40167177;Local
40167179;Local
40167186;Local
40167194;Local
40167200;Local
40167201;Local
40167215;Local
40167233;Local
40167234;Local
40167247;Local
40167255;Local
40167256;Local
40167257;Local
40167259;Local
40167265;Local
40167912;Local
40167927;Local
40168108;Local
40168704;Local
40168739;Local
40168755;Local
40170086;Local
40170181;Local
40170187;Local
40170272;Local
40170334;Local
40170358;Local
40170359;Local
40170360;Local
40170361;Local
40170362;Local
40170368;Local
40170376;Local
40170385;Local
40171794;Local
40171828;Local
40171829;Local
40171841;Local
40171842;Local
40171843;Local
40171861;Local
40171863;Local
40171871;Local
40171877;Local
40171924;Local
40171949;Local
40171951;Local
40171953;Local
40171990;Local
40171991;Local
40172004;Local
40172011;Local
40172012;Local
40172019;Local
40172023;Local
40172024;Local
40172026;Local
40172027;Local
40172028;Local
40172029;Local
40172039;Local
40172052;Local
40172056;Local
40172062;Local
40172063;Local
40172072;Local
40172074;Local
40172079;Local
40172083;Local
40172084;Local
40172087;Local
40172089;Local
40172091;Local
40172097;Local
40172098;Local
40172105;Local
40172108;Local
40172135;Local
40172903;Local
40172918;Local
40172922;Local
40172935;Local
40172938;Local
40173242;Local
40173247;Local
40173248;Local
40173250;Local
40173257;Local
40173435;Local
40173615;Local
40174276;Local
40174280;Local
40174830;Local
40174840;Local
40174962;Local
40174986;Local
40175114;Local
40175130;Local
40175136;Local
40175224;Local
40175238;Local
40175239;Local
40175360;Local
40175362;Local
40175368;Local
40175371;Local
40175377;Local
40175486;Local
40175704;Local
40175730;Local
40175737;Local
40175741;Local
40175747;Local
40175757;Local
40175762;Local
40175768;Local
40175769;Local
40175776;Local
40175787;Local
40175811;Local
40175814;Local
40175835;Local
40176898;Local
40178071;Local
40178089;Local
40178090;Local
40178116;Local
40178120;Local
40178143;Local
40178151;Local
40178158;Local
40178234;Local
40178240;Local
40178241;Local
40178247;Local
40178248;Local
40178250;Local
40178252;Local
40178253;Local
40178254;Local
40178256;Local
40178266;Local
40178267;Local
40178270;Local
40178275;Local
40178277;Local
40178288;Local
40178303;Local
40178314;Local
40178322;Local
40178325;Local
40178326;Local
40178328;Local
40178329;Local
40178336;Local
40178346;Local
40178347;Local
40178406;Local
40178415;Local
40178543;Local
40178549;Local
40178553;Local
40178557;Local
40178560;Local
40178566;Local
40178568;Local
40178575;Local
40178883;Local
40179492;Local
40180804;Local
40180818;Local
40180832;Local
40180850;Local
40180884;Local
40180917;Local
40180918;Local
40180919;Local
40180969;Local
40180975;Local
40181180;Local
40181232;Local
40181236;Local
40181340;Local
40181368;Local
40181840;Local
40181934;Local
40181950;Local
40181954;Local
40181962;Local
40181972;Local
40181977;Local
40181978;Local
40181980;Local
40181985;Local
40181986;Local
40181987;Local
40182184;Local
40182200;Local
40182201;Local
40182202;Local
40182203;Local
40182208;Local
40182209;Local
40182223;Local
40182257;Local
40182932;Local
40182947;Local
40183021;Local
40183244;Local
40183265;Local
40183291;Local
40183296;Local
40183505;Local
40184016;Local
40184428;Local
40184823;Local
40184824;Local
40184829;Local
40184830;Local
40184845;Local
40185321;Local
40185670;Local
40186625;Local
40188918;Local
40189114;Local
41801036;Local
41802974;Local
41802991;Local
41802997;Local
41803013;Local
41803121;Local
41803155;Local
41803232;Local
41803233;Local
41803771;Local
41803773;Local
41803774;Local
41803776;Local
41803777;Local
41803995;Local
41806921;Local
41822868;Local
41840988;Local
41841097;Local
41841134;Local
41841135;Local
41841166;Local
41841213;Local
41842444;Local
41842448;Local
41842451;Local
41842466;Local
41842467;Local
41842468;Local
41842887;Local
41842991;Local
40061929;Local
40085883;Local
40145708;Local
40145716;Local
41840882;Local
41840883;Local
41840897;Local
41841027;Local
